Search Term,Citation Key,Quote, Category,Sub-Category
esports branding,freitas2020sponsors,"When people are able to experience the brand in a direct, interactive and flow-like manner, they develop much higher brand awareness and recall, and more positive attitudes, often perceiving it as more pleasant and exciting than one that simply shows a logo (Fransen et al., 2013). Flow",flow,interactive
esports branding,freitas2020sponsors,"Storytelling is a vital marketing tool (Grzesiak, 2018). It is the selling point of any tournament, including esports (Borowy, 2012). Stories",storytelling,marketing
esports branding,freitas2020sponsors,"Commentators also play a vital role here as they are glorified storytellers with a deep knowledge (Taylor, 2012) and authentic love for esports (Demers, 2015). Commentators are able to establish captivating narratives because they have considerable knowledge about the history and context of esports, including of the pro-players and tournaments (Taylor, 2012).",strategies,commentators
esports branding,freitas2020sponsors,"During offline esports tournaments, it is common for brands to use demo booths (Taylor, 2012) to showcase their products or provide samples (Winnan, 2016).",product trial, demo booth
esports branding,freitas2020sponsors,"Sponsors should do their best to support tournaments and pro-players beyond the expected monetary backing (Shabir, 2017). When fans perceive that the sponsor is supporting the industry they love, they will develop much more positive attitudes toward the brand (Ströh, 2017).",support,industry
esports branding,freitas2020sponsors,"Hence, all entities within esports should do their best to improve this industry (AEVI, 2018), and this includes sponsors, who should promote good practices and integrity in esports (Brickell, 2017).",good practice,integrity
esports brandng,freitas2020sponsors,"Fortunately, the public’s negative perception of videogames has been decreasing thanks to the help of some sponsors and other entities (Shabir, 2017). CGS has shown multiple videos refuting several negative assumptions about esports (Taylor, 2012), while also highlighting the passion and energy of the scene (Li, 2016).",acceptance,brand harm
esports branding,freitas2020sponsors,"To delve even deeper into the matter of what relevant-added value sponsors should bring to esports, researchers should perform more intimate qualitative or case study investigations and face-to-face interviews with esports fans. It could also be useful to perform qualitative analyses on the sponsors’ point of view about what are the best methods for bringing relevant-added value to esports. Furthermore, it would be very interesting to understand why fans prioritized sponsors supporting the pro-players, tournaments, and the general esports industry rather than providing fans with relevant ads, content, and stories.",future,research
esports branding,kramer2021reaping,"The study’s final trend –and the most visible synthesis of digitalisation and sport –is the evolution of esports or, in simple terms, the industry of playing video games professionally (Lovett, 2018).",esports,trend
esports branding,kramer2021reaping,"In  a  recent  review,  Funk  et  al.  (2018,  p.12)  encourage  sport  practitioners  and  sportmanagement academics to “devote increased attention to esports and embrace itscommercial, educational, and research potential”",increased attention,sports
esports branding,kramer2021reaping,"Addressing this gap, our paper deals with the questions of why organisations shouldengage in esports and how they should design their esports strategy to reach marketingobjectives. This is important  because  many  sport  marketers  are  currently  unsure  about how  to  respond  to  the development in esports, i.e. whether to enter the field or not and, ifso, how they may do so. In order to answer these questions, we collected interview datafrom nine experts in the esports industry",sport,marketers
esports branding,kramer2021reaping,"The entry of the streaming platform Twitch in 2011 set the basis for the evolution as a spectator sport (Billings &Hou, 2019; Scholz, 2019). ",streaming,spectator
esports branding,kramer2021reaping," Nevertheless, the gaming community and the professional  esports  community  interact  with  and  feed  each  other,  which  has  important repercussions for the (digital) marketing of esports.",community,marketing
esports,kramer2021reaping,"Esports  infrastructure  lacks  transparency  and  simplicity  because  the  variety  of  distinct competitions within each discipline and the overlapping activities of organisations involved in the gaming industry impede a comprehensible and logical tournament structure (Funk et al., 2018). The  publishers  represent  a  core  stakeholder  of  the  industry;  through  developing,  designing, distributing and marketing video games, they are the origin of all esports-related content. Some game  developers  (e.g.  Riot  Games  or  Valve)  even  organise  their  own  esports  competitions, produce coverage, and commercialise rights. Furthermore, they license their products and sell these  rights  to  external  tournaments,  leagues,  and  event  organisers,  like  the  Electronic  Sports League, which runcompetitions and therefore act as cornerstones of the tournament system. These companies are fundamentally involved in the competition environment through fostering regulated tournament structures and delivering esports content for broadcasters and media platforms. The REAPING THE DIGITAL DIVIDEND?12broadcasters  (e.g.  Twitch,  Mixer,  ESPN  or  YouTube  Gaming)  buy  media  rights,  stream  live coverage, and display esports events or additional gamingrelated content, often without requiring a subscription fee.Teams and players provide the major reasons why people follow esports –especially for their emotional core, star appeal, and gaming skills. Typical teams consist of multiple squads competing under a unified brand in diverse disciplines from distinct genres. For example, the German team SKGaming has around 30 players in the disciplines League of Legends, FIFA, Hearthstone &Smite, to name a few (SK Gaming, 2019). The key personnel for each team are the players,  since  they  are  pivotal  for  competitive  success  and  the  generation  of  viewershipin streaming sessions. A special form of gamers are influencers, who own a big fan base on their social channels due to their talents at entertaining, in addition to their gaming skill. Sponsors and advertisers are the central drivers of monetisation and hence professionalisation of the scene, since they provide 82 % of the industry’s revenue (Pannekeet, 2019). Advertising companies are often distinguished  by  their  status  as  endemic  or  non-endemic  nature  (Fullerton &Merz,  2008). Technology  companies  (e.g.Intel)  were  considered  non-endemic  for  traditional  sport,  yet  are considered endemic for esports, as they are contributing to the performance of esports athletes, thus presenting an opportunity for technology firms to become naturally associated with gaming and esports, something that was not possible in the past. Fans follow individual players, teams, events  or  games  via  broadcasters  and  are  exposed  to  advertisements  for  merchandise,  online subscriptions, tickets etc. The followers are highly engaged in online settings and take part in dialogues with other stakeholders due to esports’ interactive character. Agencies and start-ups provide specific expertise in various dimensions, such as content creation or data tracking, and therefore  fill  knowledge  gaps  in  organisations.  For  a  deeper  comprehension  and  a  more REAPING THE DIGITAL DIVIDEND?13sophisticated overview, we recommend the Catalyst stakeholder analysis (Catalyst Sport, 2017). Although it may be costly in terms of time and effort to fully comprehend the complex and growing esports ecosystem, prior research in the sport domain has shown that identifying more relevant stakeholders –both nationally and internationally –increases firm performance (Yu et al., 2015). This can only be achieved through a careful screening of the ecosystem",ecosystem,population,roleplayers
esports branding,kramer2021reaping,"Even digital marketing is represented by just one article on digital fan engagement via social media (Vale &Fernandes, 2018). Strikingly, there is a natural connection between esports and digital marketing",digital marketing,engagement,social media
esports branding,kramer2021reaping,"In the sport management literature, a number of studies have used the relationship marketing paradigm to investigate online interactions to enhance the relationships between clubs and fans (e.g. Abeza et al., 2013, 2017a, 2017b, 2017c)",as Person,relationship
esports branding,kramer2021reaping," A  best  practice  example  of  implementing  content marketing is the company Red Bull, which is shaping the brand perception far beyond its core product of energy drinks by representing the company’s values via relevant topics for its young target group, such as extreme sports, music festivals or esports (Kunz et al., 2016). ",as Product,as Organization,attributes
esports branding,kramer2021reaping,"Thus,  this  audience  represents  a  highly  relevant  target  group  for  marketers,  as  gamers  are increasingly difficult to reach because their media usage diverges dramatically from traditional communication  channels,  such  as  television  or  radio.",traget market,media usage
esports branding,kramer2021reaping," Most stakeholders position themselves on social media, such as Instagram or Twitter, in order to inform followers about recent developments, for marketing activities, or solely to entertain fans with exciting content. Additionally, streaming has become an integral carrier of media content and live interaction,  resulting  in  its “significant  role  in  esports’exponential  growth  as  a  new  form  of entertainment”(Brathwaite, 2018). ",stakeholders, scoial media,influencers
esport branding,kramer2021reaping," At this point, it is important to note that non-official esports content represents by far the largest amount of gaming consumption (Pannekeet, 2019). However, this fact represents a huge opportunity for sport marketers, as casual gamers may be converted into esports fans and, finally, into esports athletes", content, casual gamers, fans
